sample,sex,hap1,hap2
HG01109,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01109/assemblies/HG01109_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01109/assemblies/HG01109_mat_hprc_r2_v1.0.1.fa.gz
HG01123,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01123/assemblies/HG01123_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01123/assemblies/HG01123_mat_hprc_r2_v1.0.1.fa.gz
HG01150,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01150/assemblies/HG01150_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01150/assemblies/HG01150_mat_hprc_r2_v1.0.1.fa.gz
HG01167,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01167/assemblies/HG01167_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01167/assemblies/HG01167_hap2_hprc_r2_v1.0.1.fa.gz
HG01175,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01175/assemblies/HG01175_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01175/assemblies/HG01175_mat_hprc_r2_v1.0.1.fa.gz
HG01192,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01192/assemblies/HG01192_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01192/assemblies/HG01192_mat_hprc_r2_v1.0.1.fa.gz
HG01243,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01243/assemblies/HG01243_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01243/assemblies/HG01243_mat_hprc_r2_v1.0.1.fa.gz
HG01252,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01252/assemblies/HG01252_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01252/assemblies/HG01252_mat_hprc_r2_v1.0.1.fa.gz
HG01255,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01255/assemblies/HG01255_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01255/assemblies/HG01255_mat_hprc_r2_v1.0.1.fa.gz
HG01258,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01258/assemblies/HG01258_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01258/assemblies/HG01258_mat_hprc_r2_v1.0.1.fa.gz
