sample_id,reference,file_type,s3_path
HG00320,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/variant_calls/GRCh38_no_alt/merged/HG00320.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00320,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/variant_calls/GRCh38_no_alt/merged/HG00320.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00321,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/variant_calls/CHM13v2/merged/HG00321.CHM13v2.autosomes.merged.vcf.gz
HG00321,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/variant_calls/CHM13v2/merged/HG00321.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00321,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/variant_calls/GRCh38_no_alt/merged/HG00321.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00321,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/variant_calls/GRCh38_no_alt/merged/HG00321.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00323,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/variant_calls/CHM13v2/merged/HG00323.CHM13v2.autosomes.merged.vcf.gz
HG00323,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/variant_calls/CHM13v2/merged/HG00323.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00323,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/variant_calls/GRCh38_no_alt/merged/HG00323.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00323,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/variant_calls/GRCh38_no_alt/merged/HG00323.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00329,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/variant_calls/CHM13v2/merged/HG00329.CHM13v2.autosomes.merged.vcf.gz
HG00329,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/variant_calls/CHM13v2/merged/HG00329.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00329,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/variant_calls/GRCh38_no_alt/merged/HG00329.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00329,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/variant_calls/GRCh38_no_alt/merged/HG00329.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00344,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/variant_calls/CHM13v2/merged/HG00344.CHM13v2.autosomes.merged.vcf.gz
HG00344,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/variant_calls/CHM13v2/merged/HG00344.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00344,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/variant_calls/GRCh38_no_alt/merged/HG00344.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00344,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/variant_calls/GRCh38_no_alt/merged/HG00344.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00350,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/variant_calls/CHM13v2/merged/HG00350.CHM13v2.autosomes.merged.vcf.gz
HG00350,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/variant_calls/CHM13v2/merged/HG00350.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00350,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/variant_calls/GRCh38_no_alt/merged/HG00350.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00350,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/variant_calls/GRCh38_no_alt/merged/HG00350.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00408,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00408/variant_calls/CHM13v2/merged/HG00408.CHM13v2.autosomes.merged.vcf.gz
HG00408,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00408/variant_calls/CHM13v2/merged/HG00408.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00408,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00408/variant_calls/GRCh38_no_alt/merged/HG00408.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00408,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00408/variant_calls/GRCh38_no_alt/merged/HG00408.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00423,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00423/variant_calls/CHM13v2/merged/HG00423.CHM13v2.autosomes.merged.vcf.gz
HG00423,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00423/variant_calls/CHM13v2/merged/HG00423.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00423,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00423/variant_calls/GRCh38_no_alt/merged/HG00423.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00423,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00423/variant_calls/GRCh38_no_alt/merged/HG00423.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00438,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00438/variant_calls/CHM13v2/merged/HG00438.CHM13v2.autosomes.merged.vcf.gz
HG00438,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00438/variant_calls/CHM13v2/merged/HG00438.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00438,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00438/variant_calls/GRCh38_no_alt/merged/HG00438.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00438,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00438/variant_calls/GRCh38_no_alt/merged/HG00438.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00544,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00544/variant_calls/CHM13v2/merged/HG00544.CHM13v2.autosomes.merged.vcf.gz
HG00544,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00544/variant_calls/CHM13v2/merged/HG00544.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00544,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00544/variant_calls/GRCh38_no_alt/merged/HG00544.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00544,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00544/variant_calls/GRCh38_no_alt/merged/HG00544.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00558,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00558/variant_calls/CHM13v2/merged/HG00558.CHM13v2.autosomes.merged.vcf.gz
HG00558,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00558/variant_calls/CHM13v2/merged/HG00558.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00558,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00558/variant_calls/GRCh38_no_alt/merged/HG00558.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00558,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00558/variant_calls/GRCh38_no_alt/merged/HG00558.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
